FIRST,LAST,NICKNAME,URL,FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB
Ryan,Larson,,http://ufcstats.com/fighter-details/7107e53ebd7435fb,Ryan Larson,,170 lbs.,,,1980-12-30
Stevie,Lynch,,http://ufcstats.com/fighter-details/710d93f1508f7104,Stevie Lynch,"5' 10""",170 lbs.,,Orthodox,
Lucas,Almeida,,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,Lucas Almeida,"5' 11""",145 lbs.,"71""",Orthodox,1991-01-31
Vitor,Petrino,,http://ufcstats.com/fighter-details/71171fc96445bf65,Vitor Petrino,"6' 2""",205 lbs.,"77""",Orthodox,1997-08-28
Kain,Royer,,http://ufcstats.com/fighter-details/712aa894b3a344df,Kain Royer,,185 lbs.,,,
Joe,Jordan,,http://ufcstats.com/fighter-details/712c4db78b9373d1,Joe Jordan,"5' 6""",155 lbs.,,Orthodox,1978-07-27
Bruna,Brasil,,http://ufcstats.com/fighter-details/7138a15258dabf20,Bruna Brasil,"5' 6""",115 lbs.,"65""",Orthodox,1993-09-07
Takahiro,Oba,,http://ufcstats.com/fighter-details/7139cd2ae4bf6a29,Takahiro Oba,"5' 8""",200 lbs.,,Southpaw,
Derrick,Krantz,D-Rock,http://ufcstats.com/fighter-details/714e1e0681ddb703,Derrick Krantz,"5' 10""",170 lbs.,"72""",Orthodox,1988-01-13
Dustin,Stoltzfus,,http://ufcstats.com/fighter-details/71505842fb6455c3,Dustin Stoltzfus,"6' 0""",185 lbs.,"75""",Orthodox,1991-11-15
Chris,Wright,,http://ufcstats.com/fighter-details/7182146226dabe22,Chris Wright,,,,,
Nick,Roehrick,,http://ufcstats.com/fighter-details/7195e2a932686f82,Nick Roehrick,"6' 2""",205 lbs.,,Orthodox,1987-07-06
Waachiim,Spiritwolf,Native Warrior,http://ufcstats.com/fighter-details/71caa995674203aa,Waachiim Spiritwolf,"5' 8""",170 lbs.,,,
Lucas,Camacho,,http://ufcstats.com/fighter-details/71d25689f70e4036,Lucas Camacho,"6' 4""",265 lbs.,"80""",Orthodox,1992-12-15
Kiichi,Kunimoto,Strasser,http://ufcstats.com/fighter-details/71df36d6d8cf0d74,Kiichi Kunimoto,"5' 10""",170 lbs.,"71""",Orthodox,1981-05-01
Mitchell,Sipe,No Dice,http://ufcstats.com/fighter-details/71ef1111bf829b82,Mitchell Sipe,"6' 2""",245 lbs.,,Orthodox,1996-04-09
Sabah,Homasi,,http://ufcstats.com/fighter-details/71f048adbfed5b49,Sabah Homasi,"6' 0""",170 lbs.,"72""",Orthodox,1988-10-19
Ross,Pointon,The Gladiator,http://ufcstats.com/fighter-details/7215953cd5c6254d,Ross Pointon,"5' 8""",170 lbs.,,Orthodox,1980-02-18
Igor,Gracie,,http://ufcstats.com/fighter-details/722b870449243083,Igor Gracie,"5' 11""",170 lbs.,,,1980-02-04
Josias,Musasa,The KO Wizard,http://ufcstats.com/fighter-details/723b64c0e9a8f348,Josias Musasa,"5' 8""",135 lbs.,"74""",Southpaw,1998-10-10
Troy,Mandaloniz,Rude Boy,http://ufcstats.com/fighter-details/725a834930c2b5bf,Troy Mandaloniz,"5' 9""",170 lbs.,,Orthodox,1980-02-01
AJ,Fletcher,The Ghost,http://ufcstats.com/fighter-details/725b1abc9a39d873,AJ Fletcher,"5' 10""",170 lbs.,"67""",Switch,1997-02-18
Brad,Mitchell,,http://ufcstats.com/fighter-details/7263e0dc082adc87,Brad Mitchell,"5' 11""",145 lbs.,,,1974-10-10
Christophe,Leninger,,http://ufcstats.com/fighter-details/7269329bd87eb479,Christophe Leninger,"6' 0""",200 lbs.,,Southpaw,
Mario,Sousa,Coracao Valente,http://ufcstats.com/fighter-details/72782745eb47161a,Mario Sousa,"6' 3""",185 lbs.,"79""",Orthodox,1996-10-20
Klidson,Abreu,White Bear,http://ufcstats.com/fighter-details/7279654c7674cd24,Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,1992-12-24
Lauren,Murphy,Lucky,http://ufcstats.com/fighter-details/729d4bd5a6cd0a97,Lauren Murphy,"5' 5""",125 lbs.,"67""",Orthodox,1983-07-27
Brandon,Sayles,Man of War,http://ufcstats.com/fighter-details/72b7c071910990b1,Brandon Sayles,"6' 5""",265 lbs.,,,1981-04-23
Roman,Salazar,El Gallito,http://ufcstats.com/fighter-details/72c4b253d2f5ebf2,Roman Salazar,"5' 7""",135 lbs.,,Orthodox,1988-02-21
Andrew,Montanez,,http://ufcstats.com/fighter-details/72c9c2eadfc3277e,Andrew Montanez,,185 lbs.,,,
Mateusz,Gamrot,Gamer,http://ufcstats.com/fighter-details/72db2a14ffa73ece,Mateusz Gamrot,"5' 10""",155 lbs.,"70""",Southpaw,1990-12-11
Marcos,Mariano,Dhalsim,http://ufcstats.com/fighter-details/72e5e5a6edfa8223,Marcos Mariano,"6' 1""",155 lbs.,"76""",Switch,1986-10-12
Saimon,Oliveira,,http://ufcstats.com/fighter-details/72ea1984c52019b5,Saimon Oliveira,"5' 4""",135 lbs.,"72""",Orthodox,1991-04-21
Adam,Milstead,The Prototype,http://ufcstats.com/fighter-details/72ffecf712673af1,Adam Milstead,"6' 3""",205 lbs.,"76""",Orthodox,1987-07-03
Clay,French,,http://ufcstats.com/fighter-details/73321668ff977f1b,Clay French,"5' 7""",161 lbs.,,Southpaw,1980-10-07
Kyle,Reyes,Boom,http://ufcstats.com/fighter-details/7333d6e0f6428acb,Kyle Reyes,"5' 8""",145 lbs.,,,
Kyle,Noke,,http://ufcstats.com/fighter-details/7339d340aa2889cb,Kyle Noke,"6' 1""",170 lbs.,"76""",Southpaw,1980-03-18
Ansar,Chalangov,,http://ufcstats.com/fighter-details/7342fcc41a4817fa,Ansar Chalangov,"5' 9""",170 lbs.,,Orthodox,1979-10-30
Casey,Huffman,Hellbent,http://ufcstats.com/fighter-details/737d93a42b8c2e94,Casey Huffman,"6' 3""",185 lbs.,,,
Dmitri,Stepanov,,http://ufcstats.com/fighter-details/738acab0c6934dd8,Dmitri Stepanov,"6' 3""",217 lbs.,,Orthodox,
Rizvan,Kuniev,,http://ufcstats.com/fighter-details/739fd4fbb5d862f4,Rizvan Kuniev,"6' 4""",240 lbs.,"76""",Orthodox,1992-10-03
Alexander,Trevino,,http://ufcstats.com/fighter-details/73abb7a5c57fb443,Alexander Trevino,,170 lbs.,,,
BJ,Penn,The Prodigy,http://ufcstats.com/fighter-details/73c7cfa551289285,BJ Penn,"5' 9""",155 lbs.,"70""",Orthodox,1978-12-13
Rogerio,Nogueira,Minotouro,http://ufcstats.com/fighter-details/73e09f837f3b5ecc,Rogerio Nogueira,"6' 2""",205 lbs.,"75""",Southpaw,1976-06-02
Helio,Dipp,,http://ufcstats.com/fighter-details/73eb2a552c92a821,Helio Dipp,"6' 5""",185 lbs.,,Orthodox,
Romie,Aram,,http://ufcstats.com/fighter-details/73ef22f25d0f70e2,Romie Aram,"5' 10""",170 lbs.,,Orthodox,1977-12-02
Nick,Ertl,,http://ufcstats.com/fighter-details/74061adb224be3cc,Nick Ertl,"5' 9""",155 lbs.,,,
Lucas,Martins,Mineiro,http://ufcstats.com/fighter-details/7413b80dbb0f8f9f,Lucas Martins,"6' 0""",145 lbs.,"72""",Southpaw,1988-11-11
Ron,Sparks,The Monster,http://ufcstats.com/fighter-details/743fd9080892501d,Ron Sparks,"6' 5""",265 lbs.,,,
Mackenzie,Dern,,http://ufcstats.com/fighter-details/7447e9f28508106a,Mackenzie Dern,"5' 4""",115 lbs.,"63""",Orthodox,1993-03-24
Ricardo,Romero,,http://ufcstats.com/fighter-details/744e098e065cfdbe,Ricardo Romero,"6' 0""",205 lbs.,"76""",Orthodox,1978-04-15
Vitor,Vianna,,http://ufcstats.com/fighter-details/744f50016c39c26c,Vitor Vianna,,205 lbs.,,Orthodox,
Heath,Herring,The Texas Crazy Horse,http://ufcstats.com/fighter-details/7450525c7ba032a0,Heath Herring,"6' 4""",250 lbs.,"78""",Orthodox,1978-03-02
Fatima,Kline,The Archangel,http://ufcstats.com/fighter-details/745fa7b605f8e2da,Fatima Kline,"5' 6""",115 lbs.,"67""",Orthodox,2000-07-12
Jose,Alday,Pochito,http://ufcstats.com/fighter-details/7460ddef986d3144,Jose Alday,"5' 7""",135 lbs.,"68""",Orthodox,1991-09-14
Elijah,Smith,Swift,http://ufcstats.com/fighter-details/7478b7f959ba61f5,Elijah Smith,"5' 9""",135 lbs.,"71""",Orthodox,2002-09-05
Sarah,Payant,Soulja,http://ufcstats.com/fighter-details/748d4e35f846a029,Sarah Payant,"5' 4""",115 lbs.,,,
Remco,Pardoel,Grizzly,http://ufcstats.com/fighter-details/749685d24e2cac50,Remco Pardoel,"6' 3""",260 lbs.,,Southpaw,
Taiyilake,Nueraji,Super Saiyan,http://ufcstats.com/fighter-details/7498b3ac79a3b948,Taiyilake Nueraji,"6' 2""",170 lbs.,"75""",Southpaw,2001-01-12
Khalil,Rountree Jr.,,http://ufcstats.com/fighter-details/749f572d1d3161fb,Khalil Rountree Jr.,"6' 1""",205 lbs.,"76""",Southpaw,1990-02-26
Scott,Ettling,,http://ufcstats.com/fighter-details/74b5736f1df40be3,Scott Ettling,,135 lbs.,,,
Alvaro,Herrera Mendoza,Chango,http://ufcstats.com/fighter-details/74d35fbc9c6a61bd,Alvaro Herrera Mendoza,"6' 0""",155 lbs.,"74""",Orthodox,1990-05-14
Gabriel,Salinas-Jones,,http://ufcstats.com/fighter-details/74d5f71eeb0c66c7,Gabriel Salinas-Jones,"6' 1""",245 lbs.,,,1984-11-20
Rudy,Bears,,http://ufcstats.com/fighter-details/74f13066b1417ef3,Rudy Bears,"5' 11""",170 lbs.,,Southpaw,
Da Woon,Jung,Sseda,http://ufcstats.com/fighter-details/74f9448b97bf8bec,Da Woon Jung,"6' 4""",205 lbs.,"78""",Orthodox,1993-12-07
Joe,Pardo,,http://ufcstats.com/fighter-details/74fefd43f073cd2f,Joe Pardo,"6' 1""",210 lbs.,,Southpaw,
Calvin,Kattar,,http://ufcstats.com/fighter-details/751de04455cfaac0,Calvin Kattar,"5' 11""",145 lbs.,"72""",Orthodox,1988-03-26
Muhammad,Mokaev,The Punisher,http://ufcstats.com/fighter-details/75353550928a7921,Muhammad Mokaev,"5' 7""",125 lbs.,"70""",Orthodox,2000-07-30
Adam,Smith,,http://ufcstats.com/fighter-details/754968e325d6f60d,Adam Smith,,,,,
Miranda,Granger,Danger,http://ufcstats.com/fighter-details/7559395ad833c074,Miranda Granger,"5' 7""",115 lbs.,"68""",Orthodox,1992-04-13
Mike,French,,http://ufcstats.com/fighter-details/756f45905fb20cb5,Mike French,"5' 10""",145 lbs.,,,1975-05-29
Ido,Pariente,,http://ufcstats.com/fighter-details/7573d25a078b5732,Ido Pariente,"5' 8""",155 lbs.,,Orthodox,
Herdem,Alacabek,,http://ufcstats.com/fighter-details/7578cc6bd750206b,Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,1991-06-07
Juliana,Lima,Ju Thai,http://ufcstats.com/fighter-details/75a6a390fd5dca46,Juliana Lima,"5' 5""",115 lbs.,"65""",Orthodox,1982-03-15
Dmitrii,Smoliakov,The Lifeguard,http://ufcstats.com/fighter-details/75afb06215a07341,Dmitrii Smoliakov,"6' 2""",253 lbs.,"74""",Switch,1982-08-05
Edwin,DeWees,Babyface,http://ufcstats.com/fighter-details/75bbd2206a15319f,Edwin DeWees,"6' 1""",185 lbs.,,Orthodox,1982-08-07
Shane,Roller,,http://ufcstats.com/fighter-details/75e0d3cc2262b732,Shane Roller,"5' 10""",155 lbs.,"72""",Orthodox,1979-07-14
Gleison,Tibau,,http://ufcstats.com/fighter-details/75e5fec9f72910ef,Gleison Tibau,"5' 10""",155 lbs.,"71""",Southpaw,1983-10-07
Justin,McCully,The Insane One,http://ufcstats.com/fighter-details/75f871836d41f90f,Justin McCully,"6' 1""",225 lbs.,"73""",Orthodox,1976-02-18
Carlos,Candelario,The Cannon,http://ufcstats.com/fighter-details/760a55d5b6098cbe,Carlos Candelario,"5' 8""",125 lbs.,"68""",Southpaw,1991-06-04
Casey,Olson,The Underdog,http://ufcstats.com/fighter-details/7613773461b276f4,Casey Olson,"5' 7""",145 lbs.,,Orthodox,
Ronal,Siahaan,Naga Sakti,http://ufcstats.com/fighter-details/762226efa2b01654,Ronal Siahaan,"5' 7""",125 lbs.,"71""",Southpaw,1996-05-05
YeDam,Seo,,http://ufcstats.com/fighter-details/762572d67204fadb,YeDam Seo,"5' 3""",115 lbs.,"63""",Orthodox,1992-03-20
Alex,Gilpin,,http://ufcstats.com/fighter-details/762c69860eef65d8,Alex Gilpin,"5' 7""",145 lbs.,,Orthodox,1992-03-26
Frank,Camacho,The Crank,http://ufcstats.com/fighter-details/764342d39cdaa54a,Frank Camacho,"5' 10""",155 lbs.,"73""",Orthodox,1989-05-18
Josh,Hendricks,,http://ufcstats.com/fighter-details/7649c4c95b824488,Josh Hendricks,"6' 2""",235 lbs.,,Southpaw,1976-08-28
Thomas,Petersen,The Train,http://ufcstats.com/fighter-details/764d39074a352e33,Thomas Petersen,"6' 1""",264 lbs.,"74""",Southpaw,1995-03-30
Henry,Martinez,Sicario,http://ufcstats.com/fighter-details/76729a829623e266,Henry Martinez,"5' 7""",155 lbs.,"69""",Southpaw,1983-08-07
Yousri,Belgaroui,,http://ufcstats.com/fighter-details/7674b836ce0698a0,Yousri Belgaroui,"6' 5""",185 lbs.,"79""",Orthodox,1992-06-02
Khamzat,Chimaev,Borz,http://ufcstats.com/fighter-details/767755fd74662dbf,Khamzat Chimaev,"6' 2""",185 lbs.,"75""",Orthodox,1994-05-01
Devin,Smyth,,http://ufcstats.com/fighter-details/7684c8137b4545ba,Devin Smyth,"5' 10""",170 lbs.,"72""",Switch,1995-07-21
Jon,Madsen,,http://ufcstats.com/fighter-details/7691a80e6ca3e55b,Jon Madsen,"6' 0""",240 lbs.,"72""",Orthodox,1980-02-12
Leslie,Smith,The Peacemaker,http://ufcstats.com/fighter-details/76984112f697631f,Leslie Smith,"5' 9""",135 lbs.,"66""",Orthodox,1982-08-17
Nasrudin,Nasrudinov,,http://ufcstats.com/fighter-details/769fa803bf9d2e3b,Nasrudin Nasrudinov,"6' 0""",205 lbs.,"71""",Orthodox,1991-10-06
Movsar,Evloev,,http://ufcstats.com/fighter-details/76e2870ffafbe38f,Movsar Evloev,"5' 7""",145 lbs.,"72""",Orthodox,1994-02-11
Charles,Byrd,Kid Dynamite,http://ufcstats.com/fighter-details/76ee3d666c648f6b,Charles Byrd,"5' 10""",185 lbs.,"73""",Orthodox,1983-10-11
Luis,Santos,,http://ufcstats.com/fighter-details/7701377be464d2ef,Luis Santos,"6' 1""",170 lbs.,,Southpaw,
Chalid,Arrab,Die Faust,http://ufcstats.com/fighter-details/770b9d4813c25902,Chalid Arrab,"5' 11""",205 lbs.,,Orthodox,1975-05-28
Mark,Scanlon,,http://ufcstats.com/fighter-details/771b60ff889661c8,Mark Scanlon,"5' 9""",170 lbs.,,Orthodox,
Maimaitituoheti,Keremuaili,Kyrgyz Mountain Eagle,http://ufcstats.com/fighter-details/772022b989534f0d,Maimaitituoheti Keremuaili,"5' 6""",135 lbs.,"66""",Orthodox,1991-03-18
Lisa,Ellis,,http://ufcstats.com/fighter-details/77350fd0e6d1dba8,Lisa Ellis,"5' 4""",115 lbs.,,,1982-11-15
Benito,Lopez,Golden Boy,http://ufcstats.com/fighter-details/773f7feacf96153e,Benito Lopez,"5' 10""",135 lbs.,"73""",Switch,1994-04-06
David,Roberts,,http://ufcstats.com/fighter-details/775bad6d700d2302,David Roberts,"6' 1""",170 lbs.,,Orthodox,1975-11-15
Nad,Narimani,Smiler,http://ufcstats.com/fighter-details/776a58a67665a171,Nad Narimani,"5' 8""",145 lbs.,"70""",Orthodox,1987-04-14
Pete,Rodriguez,Dead Game,http://ufcstats.com/fighter-details/776d4262c4da38bf,Pete Rodriguez,"5' 9""",170 lbs.,"71""",Switch,1996-11-13
Guram,Kutateladze,Georgian Viking,http://ufcstats.com/fighter-details/7772b283d288dbe2,Guram Kutateladze,"5' 11""",155 lbs.,"72""",Orthodox,1992-01-08
Valmir,Lazaro,Bidu,http://ufcstats.com/fighter-details/777dea713da2441d,Valmir Lazaro,"6' 0""",155 lbs.,"73""",Orthodox,1985-08-15
Justin,Haskins,,http://ufcstats.com/fighter-details/77940e45bc86208e,Justin Haskins,"5' 10""",170 lbs.,,Orthodox,1979-08-30
Alessio,Di Chirico,Manzo,http://ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,1989-12-12
Korey,Kuppe,,http://ufcstats.com/fighter-details/780a2897055e3ee3,Korey Kuppe,"6' 5""",170 lbs.,"77""",Switch,1989-01-23
Joe,Wilk,The Nose,http://ufcstats.com/fighter-details/781014fb7e8e647a,Joe Wilk,"5' 9""",145 lbs.,,,1982-04-12
Urijah,Faber,The California Kid,http://ufcstats.com/fighter-details/78114b7199cef90c,Urijah Faber,"5' 6""",135 lbs.,"67""",Orthodox,1979-05-14
Paddy,Pimblett,The Baddy,http://ufcstats.com/fighter-details/7826923b47f8d72a,Paddy Pimblett,"5' 10""",155 lbs.,"73""",Orthodox,1995-01-03
Keigo,Kunihara,,http://ufcstats.com/fighter-details/782a2a17d3e38fdf,Keigo Kunihara,"6' 0""",235 lbs.,,Orthodox,
Tucker,Lutz,Top Gun,http://ufcstats.com/fighter-details/7832f2f62f04178f,Tucker Lutz,"5' 8""",145 lbs.,"72""",Orthodox,1994-07-12
Shane,Campbell,Shaolin,http://ufcstats.com/fighter-details/784285b7ae7dd85f,Shane Campbell,"6' 0""",155 lbs.,"71""",Orthodox,1987-01-21
Edivan,Santos,Pe De Sapo,http://ufcstats.com/fighter-details/78719f6663ad9160,Edivan Santos,"6' 4""",248 lbs.,"78""",Orthodox,1992-05-03
Ciryl,Gane,Bon Gamin,http://ufcstats.com/fighter-details/787bb1f087ccff8a,Ciryl Gane,"6' 4""",245 lbs.,"81""",Orthodox,1990-04-12
Justin,Frazier,The Grizzly Bear,http://ufcstats.com/fighter-details/78863e4a28204a6b,Justin Frazier,"6' 0""",265 lbs.,"75""",Southpaw,1989-06-15
Nick,Barnes,,http://ufcstats.com/fighter-details/78a5eea49638685d,Nick Barnes,"5' 11""",170 lbs.,,,
Fabio,Cherant,Water Buffalo,http://ufcstats.com/fighter-details/78a68f1dade6aaf7,Fabio Cherant,"6' 1""",205 lbs.,"74""",Southpaw,1994-11-25
Brandon,Lowe,,http://ufcstats.com/fighter-details/78ac94d54aa7f378,Brandon Lowe,,155 lbs.,,,
Bill,Cooper,,http://ufcstats.com/fighter-details/78bd6940d093fd33,Bill Cooper,,155 lbs.,,,1984-05-05
Azunna,Anyanwu,Zulu,http://ufcstats.com/fighter-details/78d48d3874dacafd,Azunna Anyanwu,"6' 1""",251 lbs.,,Orthodox,1981-08-05
Khama,Worthy,The Death Star,http://ufcstats.com/fighter-details/78e501478a36a018,Khama Worthy,"5' 11""",155 lbs.,"74""",Orthodox,1986-10-15
Journey,Newson,,http://ufcstats.com/fighter-details/78f485f851891d68,Journey Newson,"5' 5""",135 lbs.,"67""",Orthodox,1989-03-07
Dustin,Joynson,,http://ufcstats.com/fighter-details/791367e8c35cfb6a,Dustin Joynson,"6' 6""",244 lbs.,"78""",Orthodox,1985-10-14
Joanderson,Brito,Tubarao,http://ufcstats.com/fighter-details/791c8437b341fba5,Joanderson Brito,"5' 8""",145 lbs.,"72""",Orthodox,1995-02-11
Nick,Pica,The Silverback,http://ufcstats.com/fighter-details/7922e8269adcc25a,Nick Pica,"5' 10""",185 lbs.,,,
Igor,Vovchanchyn,Ice Cold,http://ufcstats.com/fighter-details/7929be8290289a47,Igor Vovchanchyn,"5' 8""",205 lbs.,,Orthodox,1973-08-06
Brandon,Moreno,The Assassin Baby,http://ufcstats.com/fighter-details/792be9a24df82ed6,Brandon Moreno,"5' 7""",125 lbs.,"70""",Orthodox,1993-12-07
Andreas,Michailidis,The Spartan,http://ufcstats.com/fighter-details/79325a3c1a5c3bf4,Andreas Michailidis,"6' 0""",170 lbs.,"76""",Orthodox,1988-07-18
Pete,Sabala,,http://ufcstats.com/fighter-details/7956f026e2672c47,Pete Sabala,,135 lbs.,,,
Fellipe,Andrew,,http://ufcstats.com/fighter-details/7977fb0fd9c5955d,Fellipe Andrew,,,,,1994-10-24
Ricky,Palacios,El Gallero,http://ufcstats.com/fighter-details/797ddccda75f169f,Ricky Palacios,"5' 6""",145 lbs.,,Orthodox,1987-07-05
Joe,Stevenson,Daddy,http://ufcstats.com/fighter-details/79899ecf62020f6d,Joe Stevenson,"5' 7""",145 lbs.,"70""",Orthodox,1982-06-15
Carlos,Hernandez,,http://ufcstats.com/fighter-details/798e48f9e7f6ba22,Carlos Hernandez,"5' 8""",125 lbs.,"67""",Orthodox,1993-10-25
Mark,Cherico,The Pride of Bloomfield,http://ufcstats.com/fighter-details/79a193111e3bc99b,Mark Cherico,"5' 7""",145 lbs.,"69""",Orthodox,1986-05-12
Dave,Courchaine,,http://ufcstats.com/fighter-details/79ab17db3b40831a,Dave Courchaine,"5' 8""",170 lbs.,,,
Zarrukh,Adashev,The Lion,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,1992-07-29
Eric,Schwartz,,http://ufcstats.com/fighter-details/79cbdf233e5e0496,Eric Schwartz,,205 lbs.,,,
Shinya,Aoki,Tobikan Judan,http://ufcstats.com/fighter-details/79ded75550efc139,Shinya Aoki,"5' 11""",154 lbs.,,Southpaw,1983-05-09
Sim,Kai Xiong,Kobra,http://ufcstats.com/fighter-details/79e2cb1e813f881b,Sim Kai Xiong,"5' 5""",125 lbs.,"66""",Orthodox,1997-09-06
Kaitlin,Young,,http://ufcstats.com/fighter-details/79ff6545b0abc685,Kaitlin Young,"5' 9""",135 lbs.,,Orthodox,1985-09-15
John,Alessio,The Natural,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,1979-07-05
Amaury,Bitetti,,http://ufcstats.com/fighter-details/7a359ef685a304a7,Amaury Bitetti,"5' 9""",185 lbs.,,Orthodox,
Gasan,Umalatov,Cobra,http://ufcstats.com/fighter-details/7a39bbac8cc0fa70,Gasan Umalatov,"5' 11""",170 lbs.,"71""",Orthodox,1982-09-11
Val,Woodburn,The Animal,http://ufcstats.com/fighter-details/7a47e068f8017019,Val Woodburn,"5' 8""",170 lbs.,"74""",Orthodox,1993-08-10
Chris,Barnett,Beastboy,http://ufcstats.com/fighter-details/7a5e8c94a86f9895,Chris Barnett,"5' 9""",265 lbs.,"75""",Orthodox,1986-06-14
Bernardo,Magalhaes,Trekko,http://ufcstats.com/fighter-details/7a613f78dd7ee8f8,Bernardo Magalhaes,"5' 9""",155 lbs.,,Orthodox,1981-04-08
Jacare,Souza,,http://ufcstats.com/fighter-details/7a703c565ccaa18f,Jacare Souza,"6' 1""",185 lbs.,"72""",Orthodox,1979-12-07
Claudionor,Fontinelle,,http://ufcstats.com/fighter-details/7a82635ffa9b59fe,Claudionor Fontinelle,"5' 5""",185 lbs.,,Orthodox,
Mohamed,Ado,,http://ufcstats.com/fighter-details/7a846fcbf182a7c8,Mohamed Ado,"5' 11""",170 lbs.,"76""",Switch,2000-05-03
Klayton,Mai,,http://ufcstats.com/fighter-details/7a9c1bb08a743d7f,Klayton Mai,"5' 9""",125 lbs.,,,1986-11-30
Andrews,Nakahara,,http://ufcstats.com/fighter-details/7a9ca95a92d7b64c,Andrews Nakahara,"6' 1""",185 lbs.,,Orthodox,1983-03-12
Alex,Caceres,Bruce Leeroy,http://ufcstats.com/fighter-details/7aa3d6964eff4877,Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,1988-06-20
Amar,Suloev,,http://ufcstats.com/fighter-details/7aa88401f93ce836,Amar Suloev,"5' 9""",183 lbs.,,Orthodox,1976-07-01
Tommy,Petersen,,http://ufcstats.com/fighter-details/7aabd61419f747d1,Tommy Petersen,,155 lbs.,,,
Aliaskhab,Khizriev,Black Wolf,http://ufcstats.com/fighter-details/7ab478c397cd68ef,Aliaskhab Khizriev,"5' 9""",185 lbs.,"74""",Southpaw,1990-08-24
Brian,Lo-A-Njoe,,http://ufcstats.com/fighter-details/7abce81b72fbbd9b,Brian Lo-A-Njoe,"5' 7""",155 lbs.,,Orthodox,
Fabricio,Camoes,Morango,http://ufcstats.com/fighter-details/7abe471b61725980,Fabricio Camoes,"5' 10""",155 lbs.,"71""",Orthodox,1978-12-23
Aaron,Tau,Tauzemup,http://ufcstats.com/fighter-details/7abf7f8778472b7b,Aaron Tau,"5' 4""",135 lbs.,"66""",Switch,1993-08-21
Marvin,Vettori,The Italian Dream,http://ufcstats.com/fighter-details/7acbb0972e75281a,Marvin Vettori,"6' 0""",185 lbs.,"74""",Southpaw,1993-09-20
Jeremy,Hamilton,Hawk,http://ufcstats.com/fighter-details/7ada6ea792a34424,Jeremy Hamilton,,185 lbs.,,,1984-11-14
Shannon,Clark,MMA Barbie,http://ufcstats.com/fighter-details/7ae36b3791e0969a,Shannon Clark,"5' 5""",125 lbs.,"64""",Orthodox,1992-07-07
Brady,Hiestand,Bam Bam,http://ufcstats.com/fighter-details/7af33fc4435017f1,Brady Hiestand,"5' 8""",135 lbs.,"71""",Orthodox,1999-04-30
Daniel,McWilliams,The Animal,http://ufcstats.com/fighter-details/7b03d9df5910917d,Daniel McWilliams,"6' 1""",185 lbs.,,,
Paul,Sass,,http://ufcstats.com/fighter-details/7b143a54451263d9,Paul Sass,"6' 0""",155 lbs.,"73""",Orthodox,1988-08-04
Tito,Jones,,http://ufcstats.com/fighter-details/7b223a22a6c26868,Tito Jones,"5' 8""",145 lbs.,,Southpaw,1981-07-31
Zhang,Lipeng,The Warrior,http://ufcstats.com/fighter-details/7b310409440c9102,Zhang Lipeng,"5' 11""",155 lbs.,"71""",Southpaw,1990-03-10
Westin,Wilson,,http://ufcstats.com/fighter-details/7b3503352cd53abb,Westin Wilson,"6' 1""",145 lbs.,"73""",Southpaw,1989-01-24
Matt,Van Buren,Gutter,http://ufcstats.com/fighter-details/7b39035fae7268b8,Matt Van Buren,"6' 5""",205 lbs.,,,1986-06-12
Francesco,Mazzeo,,http://ufcstats.com/fighter-details/7b3c13fe33556a21,Francesco Mazzeo,"6' 3""",205 lbs.,"75""",Orthodox,1997-09-23
Brad,Katona,Superman,http://ufcstats.com/fighter-details/7b433309b0fd12aa,Brad Katona,"5' 6""",135 lbs.,"64""",Orthodox,1991-12-19
Brett,Tillis,,http://ufcstats.com/fighter-details/7b461ccae8270207,Brett Tillis,,145 lbs.,,,
Angad,Bisht,,http://ufcstats.com/fighter-details/7b4ae3fd439a05b6,Angad Bisht,"5' 7""",125 lbs.,"67""",Orthodox,1995-06-05
Valeri,Ignatov,,http://ufcstats.com/fighter-details/7b6ce3a9460565b5,Valeri Ignatov,"5' 9""",170 lbs.,,Orthodox,
Shonie,Carter,Mr. International,http://ufcstats.com/fighter-details/7b6e40a73b567072,Shonie Carter,"5' 10""",170 lbs.,,Southpaw,1972-05-03
Tom,Erikson,The Big Cat,http://ufcstats.com/fighter-details/7b9a85e5ff31ef47,Tom Erikson,"6' 3""",280 lbs.,,Orthodox,
Eddie,Ruiz,,http://ufcstats.com/fighter-details/7b9aa973e5c04624,Eddie Ruiz,"5' 7""",155 lbs.,,Orthodox,1967-06-10
Daniel,Weichel,The Weasel,http://ufcstats.com/fighter-details/7b9dade6bedaabbe,Daniel Weichel,"5' 10""",145 lbs.,"70""",,1984-11-22
